,carat,cut,cut_ord,color,clarity,clarity_ord,Predicted Price,Regression Variables,,,
1,1.22,Premium,4,G,SI1,3,6989.26,Intercept,Carat,Cut,Clarity
2,1.01,Good,2,G,VS2,5,11083.33,-5269,8413,158.1,454
3,0.71,Very Good,3,I,VS2,5,8717.53,,,,
4,1.01,Ideal,5,D,SI2,2,10195.63,,Step 1: Question 2,,
5,0.27,Ideal,5,H,VVS2,6,5786.01,,10094.8,,
6,0.52,Premium,4,G,VS1,4,6823.16,,,,
7,1.01,Premium,4,F,SI1,3,10491.53,,Step3: Question 1,,
8,0.59,Ideal,5,D,SI1,3,7116.17,,19274677.63,,
9,1.01,Good,2,E,SI1,3,10175.33,,,,
10,2.03,Ideal,5,F,SI2,2,18776.89,,,,
11,1.35,Premium,4,H,VS2,5,14259.95,,,,
12,0.74,Ideal,5,G,SI1,3,8378.12,,,,
13,0.9,Premium,4,D,SI1,3,9566.1,,,,
14,0.3,Good,2,G,VS2,5,5110.1,,,,
15,1.01,Good,2,F,VS2,5,11083.33,,,,
16,1.02,Good,2,H,SI2,2,9805.46,,,,
17,2.05,Premium,4,G,SI1,3,19241.05,,,,
18,0.54,Ideal,5,I,SI1,3,6695.52,,,,
19,0.72,Ideal,5,G,VS2,5,9117.86,,,,
20,2,Premium,4,J,SI2,2,18366.4,,,,
21,1.57,Premium,4,G,SI2,2,14748.81,,,,
22,0.89,Premium,4,G,SI1,3,9481.97,,,,
23,0.33,Premium,4,I,VVS2,6,6132.69,,,,
24,0.3,Very Good,3,G,IF,8,6630.2,,,,
25,1.79,Very Good,3,I,VS2,5,17803.57,,,,
26,1.11,Ideal,5,E,SI2,2,11036.93,,,,
27,0.79,Premium,4,F,SI1,3,8640.67,,,,
28,0.71,Very Good,3,F,SI1,3,7809.53,,,,
29,0.73,Ideal,5,G,SI1,3,8293.99,,,,
30,0.9,Very Good,3,G,VS2,5,10316,,,,
31,1.31,Good,2,I,VS1,4,13153.23,,,,
32,1.01,Ideal,5,F,SI2,2,10195.63,,,,
33,0.35,Premium,4,D,SI1,3,4938.95,,,,
34,0.41,Premium,4,G,VS2,5,6351.73,,,,
35,0.32,Premium,4,E,VS2,5,5594.56,,,,
36,0.38,Ideal,5,D,VS1,4,5803.44,,,,
37,1.21,Premium,4,I,SI2,2,11720.13,,,,
38,1,Premium,4,F,SI1,3,10407.4,,,,
39,0.56,Ideal,5,H,VS2,5,7771.78,,,,
40,1,Good,2,J,SI1,3,10091.2,,,,
41,0.32,Premium,4,H,VVS1,7,6502.56,,,,
42,1.7,Ideal,5,D,SI1,3,16454.6,,,,
43,2.26,Very Good,3,D,SI2,2,20395.68,,,,
44,0.32,Premium,4,D,VS2,5,5594.56,,,,
45,0.4,Very Good,3,F,VVS1,7,7017.5,,,,
46,2.13,Very Good,3,G,SI2,2,19301.99,,,,
47,0.7,Premium,4,G,VS2,5,8791.5,,,,
48,2.01,Premium,4,H,SI1,3,18904.53,,,,
49,1.15,Premium,4,G,SI1,3,11669.35,,,,
50,0.71,Ideal,5,E,VS1,4,8579.73,,,,
51,1.35,Premium,4,G,VVS2,6,14713.95,,,,
52,0.51,Ideal,5,F,SI1,3,6443.13,,,,
53,0.34,Ideal,5,D,IF,8,7282.92,,,,
54,1.58,Ideal,5,G,VS1,4,15899.04,,,,
55,2.05,Good,2,G,SI2,2,18470.85,,,,
56,0.41,Ideal,5,H,VS1,4,6055.83,,,,
57,0.6,Fair,1,F,SI1,3,6567.9,,,,
58,0.31,Ideal,5,H,IF,8,7030.53,,,,
59,0.64,Very Good,3,D,SI1,3,7220.62,,,,
60,0.71,Premium,4,J,SI1,3,7967.63,,,,
61,0.55,Ideal,5,F,VS2,5,7687.65,,,,
62,1.26,Very Good,3,G,VVS2,6,13798.68,,,,
63,1.03,Premium,4,G,VS1,4,11113.79,,,,
64,1.01,Premium,4,H,SI2,2,10037.53,,,,
65,0.25,Very Good,3,E,VVS2,6,5301.55,,,,
66,0.9,Premium,4,H,SI1,3,9566.1,,,,
67,0.45,Premium,4,D,VS1,4,6234.25,,,,
68,0.3,Ideal,5,F,IF,8,6946.4,,,,
69,0.9,Good,2,D,SI2,2,8795.9,,,,
70,0.8,Very Good,3,F,VS2,5,9474.7,,,,
71,0.33,Premium,4,G,VS1,4,5224.69,,,,
72,0.71,Ideal,5,G,SI1,3,8125.73,,,,
73,0.7,Premium,4,D,SI1,3,7883.5,,,,
74,0.78,Ideal,5,H,SI2,2,8260.64,,,,
75,0.7,Very Good,3,F,SI2,2,7271.4,,,,
76,0.38,Ideal,5,F,VVS2,6,6711.44,,,,
77,0.54,Premium,4,J,VS2,5,7445.42,,,,
78,0.25,Good,2,E,VVS2,6,5143.45,,,,
79,2.5,Good,2,J,VS2,5,23618.7,,,,
80,0.72,Good,2,D,VS1,4,8189.56,,,,
81,0.41,Ideal,5,E,VS2,5,6509.83,,,,
82,2.03,Ideal,5,G,SI2,2,18776.89,,,,
83,1.24,Premium,4,D,SI1,3,12426.52,,,,
84,0.92,Premium,4,G,SI2,2,9280.36,,,,
85,1,Fair,1,E,SI2,2,9479.1,,,,
86,0.57,Ideal,5,F,VS1,4,7401.91,,,,
87,0.54,Ideal,5,D,SI1,3,6695.52,,,,
88,1.08,Premium,4,H,SI2,2,10626.44,,,,
89,0.54,Very Good,3,H,VVS1,7,8195.32,,,,
90,0.63,Very Good,3,F,VS2,5,8044.49,,,,
91,1.58,Premium,4,D,SI1,3,15286.94,,,,
92,0.3,Very Good,3,D,VS2,5,5268.2,,,,
93,1.56,Ideal,5,G,VVS2,6,16638.78,,,,
94,0.26,Very Good,3,F,VVS2,6,5385.68,,,,
95,0.57,Ideal,5,E,VS2,5,7855.91,,,,
96,0.39,Ideal,5,F,IF,8,7703.57,,,,
97,1.13,Very Good,3,G,SI2,2,10888.99,,,,
98,1.09,Ideal,5,H,SI1,3,11322.67,,,,
99,1.52,Ideal,5,E,SI2,2,14486.26,,,,
100,1.01,Very Good,3,E,VS1,4,10787.43,,,,
101,1.21,Premium,4,H,SI2,2,11720.13,,,,
102,0.5,Ideal,5,H,SI1,3,6359,,,,
103,1.33,Premium,4,E,SI2,2,12729.69,,,,
104,0.52,Very Good,3,D,VS2,5,7119.06,,,,
105,0.33,Ideal,5,H,SI2,2,4474.79,,,,
106,1.06,Premium,4,G,SI2,2,10458.18,,,,
107,0.9,Premium,4,F,SI2,2,9112.1,,,,
108,0.92,Ideal,5,H,VS1,4,10346.46,,,,
109,1.54,Premium,4,D,VS2,5,15858.42,,,,
110,1,Premium,4,E,SI2,2,9953.4,,,,
111,1.2,Ideal,5,G,VS1,4,12702.1,,,,
112,1,Ideal,5,E,SI1,3,10565.5,,,,
113,0.33,Very Good,3,E,SI1,3,4612.59,,,,
114,0.38,Ideal,5,E,IF,8,7619.44,,,,
115,0.55,Ideal,5,H,VVS2,6,8141.65,,,,
116,0.31,Premium,4,J,VS2,5,5510.43,,,,
117,1.13,Ideal,5,D,VS1,4,12113.19,,,,
118,0.33,Premium,4,D,SI1,3,4770.69,,,,
119,1.03,Premium,4,E,VS2,5,11567.79,,,,
120,0.53,Very Good,3,F,SI1,3,6295.19,,,,
121,1,Good,2,F,I1,1,9183.2,,,,
122,0.8,Very Good,3,F,VS1,4,9020.7,,,,
123,1.25,Good,2,I,SI2,2,11740.45,,,,
124,0.5,Very Good,3,E,SI1,3,6042.8,,,,
125,0.56,Ideal,5,D,VS2,5,7771.78,,,,
126,0.46,Ideal,5,J,VS2,5,6930.48,,,,
127,2.1,Premium,4,H,SI2,2,19207.7,,,,
128,0.77,Ideal,5,D,SI1,3,8630.51,,,,
129,0.53,Premium,4,H,VS2,5,7361.29,,,,
130,0.75,Very Good,3,F,VS1,4,8600.05,,,,
131,0.41,Premium,4,F,VVS2,6,6805.73,,,,
132,0.41,Ideal,5,G,VVS1,7,7417.83,,,,
133,0.51,Ideal,5,D,VS2,5,7351.13,,,,
134,0.34,Premium,4,G,VS2,5,5762.82,,,,
135,0.51,Ideal,5,E,SI2,2,5989.13,,,,
136,0.3,Premium,4,H,SI1,3,4518.3,,,,
137,1.5,Good,2,G,SI2,2,13843.7,,,,
138,1.01,Very Good,3,F,SI2,2,9879.43,,,,
139,1.1,Ideal,5,G,VS1,4,11860.8,,,,
140,0.5,Good,2,D,SI1,3,5884.7,,,,
141,1,Good,2,E,VVS2,6,11453.2,,,,
142,1.22,Ideal,5,J,VS1,4,12870.36,,,,
143,1.51,Ideal,5,H,SI2,2,14402.13,,,,
144,0.31,Ideal,5,E,VVS1,7,6576.53,,,,
145,0.95,Premium,4,E,SI2,2,9532.75,,,,
146,1.06,Very Good,3,I,SI2,2,10300.08,,,,
147,1.39,Premium,4,E,VS2,5,14596.47,,,,
148,1.01,Very Good,3,H,VS2,5,11241.43,,,,
149,0.72,Premium,4,D,SI1,3,8051.76,,,,
150,0.51,Premium,4,D,VS1,4,6739.03,,,,
151,1.5,Very Good,3,D,SI2,2,14001.8,,,,
152,0.7,Premium,4,G,VVS1,7,9699.5,,,,
153,1.01,Premium,4,H,SI2,2,10037.53,,,,
154,0.3,Ideal,5,I,SI1,3,4676.4,,,,
155,1.29,Premium,4,F,SI1,3,12847.17,,,,
156,1.01,Very Good,3,F,VS2,5,11241.43,,,,
157,0.33,Ideal,5,I,VS2,5,5836.79,,,,
158,1.53,Premium,4,H,SI2,2,14412.29,,,,
159,0.85,Premium,4,D,SI2,2,8691.45,,,,
160,0.33,Ideal,5,G,VS2,5,5836.79,,,,
161,0.6,Ideal,5,D,VVS1,7,9016.3,,,,
162,0.63,Premium,4,I,VS1,4,7748.59,,,,
